"con_type","n_con","k","rho","f","gamma","solver_calls","sat_calls","unsat_calls","sat_avg_nclauses","unsat_avg_nclauses","sat_avg_time","unsat_avg_time","verification","ari","ami","nid"
"mixed",2,128,0.25,"min_diameter",0.849741,14,1,13,1146701,1340926.2308,1205.3148,0.2362,TRUE,0.037073,0.049786,0.036801
"mixed",2,128,0.5,"min_diameter",0.871448,14,1,13,1146701,1340926.2308,1178.2537,0.2348,TRUE,0.037073,0.049786,0.036801
"mixed",2,128,0.75,"min_diameter",0.931403,14,1,13,1146701,1340926.2308,1174.0709,0.235,TRUE,0.037073,0.049786,0.036801
"mixed",3,128,0.25,"min_diameter",0.849741,14,1,13,1146829,1341054.2308,261.1072,0.2355,TRUE,0.060978,0.069707,0.026566
"mixed",3,128,0.5,"min_diameter",0.871448,14,1,13,1146829,1341054.2308,262.2262,0.2345,TRUE,0.060978,0.069707,0.026566
"mixed",3,128,0.75,"min_diameter",0.931403,14,1,13,1146829,1341054.2308,262.6333,0.2324,TRUE,0.060978,0.069707,0.026566
"mixed",4,128,0.25,"min_diameter",0.849741,14,1,13,1147085,1341310.2308,1401.8452,0.2338,TRUE,0.088671,0.139649,0.036758
"mixed",4,128,0.5,"min_diameter",0.871448,14,1,13,1147085,1341310.2308,1445.3663,0.2372,TRUE,0.088671,0.139649,0.036758
"mixed",4,128,0.75,"min_diameter",0.931403,14,1,13,1147085,1341310.2308,1377.9084,0.2337,TRUE,0.088671,0.139649,0.036758
"mixed",5,128,0.25,"min_diameter",0.849741,14,1,13,1147213,1341438.2308,1223.1644,0.2345,TRUE,0.073374,0.102445,0.034741
"mixed",5,128,0.5,"min_diameter",0.871448,14,1,13,1147213,1341438.2308,1219.2717,0.2314,TRUE,0.073374,0.102445,0.034741
"mixed",5,128,0.75,"min_diameter",0.931403,14,1,13,1147213,1341438.2308,1227.4849,0.2336,TRUE,0.073374,0.102445,0.034741
