"iteration","num_clauses","sat_output","time_taken"
1,2410317,"UNSAT",0.337621927261353
2,1778509,"UNSAT",0.277118921279907
3,1462605,"UNSAT",0.243576288223267
4,1304653,"UNSAT",0.221001863479614
5,1225805,"UNSAT",0.215447902679443
6,1186381,"UNSAT",0.212424039840698
7,1166669,"UNSAT",0.209573030471802
8,1156685,"UNSAT",0.209132194519043
9,1151821,"UNSAT",0.208253622055054
10,1149261,"UNSAT",0.207492113113403
11,1147981,"UNSAT",0.211699962615967
12,1147469,"UNSAT",0.200315713882446
13,1147213,"UNSAT",0.197906732559204
14,1146957,"SAT",10869.8834476471
