"iteration","num_clauses","sat_output","time_taken"
1,2409933,"UNSAT",0.366337537765503
2,1778125,"UNSAT",0.295889377593994
3,1462221,"UNSAT",0.253996610641479
4,1304269,"UNSAT",0.230736970901489
5,1225421,"UNSAT",0.216060400009155
6,1185997,"UNSAT",0.216410875320435
7,1166285,"UNSAT",0.213290452957153
8,1156301,"UNSAT",0.209815740585327
9,1151437,"UNSAT",0.206551313400269
10,1148877,"UNSAT",0.210348129272461
11,1147597,"UNSAT",0.212049245834351
12,1147085,"UNSAT",0.205879926681519
13,1146829,"UNSAT",0.209047317504883
14,1146573,"SAT",1669.9041352272
