"iteration","num_clauses","sat_output","time_taken"
1,2410445,"UNSAT",0.36681604385376
2,1778637,"UNSAT",0.289631843566895
3,1462733,"UNSAT",0.256932258605957
4,1304781,"UNSAT",0.230654239654541
5,1225933,"UNSAT",0.217835664749146
6,1186509,"UNSAT",0.210961580276489
7,1166797,"UNSAT",0.210375785827637
8,1156813,"UNSAT",0.212819337844849
9,1151949,"UNSAT",0.203259468078613
10,1149389,"UNSAT",0.210448026657104
11,1148109,"UNSAT",0.209181308746338
12,1147597,"UNSAT",0.210379838943481
13,1147341,"UNSAT",0.20862865447998
14,1147085,"SAT",1377.90842175484
