"iteration","num_clauses","sat_output","time_taken"
1,2409805,"UNSAT",0.361542224884033
2,1777997,"UNSAT",0.288289070129395
3,1462093,"UNSAT",0.249849796295166
4,1304141,"UNSAT",0.22479772567749
5,1225293,"UNSAT",0.218042612075806
6,1185869,"UNSAT",0.205886602401733
7,1166157,"UNSAT",0.209672927856445
8,1156173,"UNSAT",0.205372333526611
9,1151309,"UNSAT",0.204893350601196
10,1148749,"UNSAT",0.201494216918945
11,1147469,"UNSAT",0.204824447631836
12,1146957,"UNSAT",0.202558517456055
13,1146701,"UNSAT",0.205312252044678
14,1146445,"SAT",138.024691343307
