"iteration","num_clauses","sat_output","time_taken"
1,2410189,"UNSAT",0.370032072067261
2,1778381,"UNSAT",0.289727449417114
3,1462477,"UNSAT",0.251822948455811
4,1304525,"UNSAT",0.234015703201294
5,1225677,"UNSAT",0.212963581085205
6,1186253,"UNSAT",0.20487380027771
7,1166541,"UNSAT",0.211040496826172
8,1156557,"UNSAT",0.212710618972778
9,1151693,"UNSAT",0.206472396850586
10,1149133,"UNSAT",0.210145950317383
11,1147853,"UNSAT",0.204955101013184
12,1147341,"UNSAT",0.210640668869019
13,1147085,"UNSAT",0.209869146347046
14,1146829,"SAT",999.556660652161
