"iteration","num_clauses","sat_output","time_taken"
1,2410317,"UNSAT",0.358446359634399
2,1778509,"UNSAT",0.281733512878418
3,1462605,"UNSAT",0.251789569854736
4,1304653,"UNSAT",0.232132434844971
5,1225805,"UNSAT",0.225104331970215
6,1186381,"UNSAT",0.216453790664673
7,1166669,"UNSAT",0.213234424591064
8,1156685,"UNSAT",0.213588237762451
9,1151821,"UNSAT",0.218289852142334
10,1149261,"UNSAT",0.213794946670532
11,1147981,"UNSAT",0.210412502288818
12,1147469,"UNSAT",0.209406614303589
13,1147213,"UNSAT",0.206558465957642
14,1146957,"SAT",11096.2065913677
