"iteration","num_clauses","sat_output","time_taken"
1,2409933,"UNSAT",0.358141660690308
2,1778125,"UNSAT",0.276567220687866
3,1462221,"UNSAT",0.241530418395996
4,1304269,"UNSAT",0.225542545318604
5,1225421,"UNSAT",0.218344688415527
6,1185997,"UNSAT",0.209958076477051
7,1166285,"UNSAT",0.205279350280762
8,1156301,"UNSAT",0.206572771072388
9,1151437,"UNSAT",0.199943542480469
10,1148877,"UNSAT",0.207900047302246
11,1147597,"UNSAT",0.205785512924194
12,1147085,"UNSAT",0.201272964477539
13,1146829,"UNSAT",0.207147121429443
14,1146573,"SAT",630.945790529251
