"iteration","num_clauses","sat_output","time_taken"
1,2410061,"UNSAT",0.354093313217163
2,1778253,"UNSAT",0.287611246109009
3,1462349,"UNSAT",0.250765323638916
4,1304397,"UNSAT",0.228029489517212
5,1225549,"UNSAT",0.21841835975647
6,1186125,"UNSAT",0.213363409042358
7,1166413,"UNSAT",0.212339162826538
8,1156429,"UNSAT",0.20740270614624
9,1151565,"UNSAT",0.209236860275269
10,1149005,"UNSAT",0.207818984985352
11,1147725,"UNSAT",0.200361967086792
12,1147213,"UNSAT",0.206269264221191
13,1146957,"UNSAT",0.204154014587402
14,1146701,"SAT",6956.3468682766
