"iteration","num_clauses","sat_output","time_taken"
1,2410957,"UNSAT",0.361420869827271
2,1779149,"UNSAT",0.282343149185181
3,1463245,"UNSAT",0.248331308364868
4,1305293,"UNSAT",0.2293541431427
5,1226445,"UNSAT",0.211357116699219
6,1187021,"UNSAT",0.20823335647583
7,1167309,"UNSAT",0.20443868637085
8,1157325,"UNSAT",0.200591087341309
9,1152461,"UNSAT",0.206342458724976
10,1149901,"UNSAT",0.206824779510498
11,1148621,"UNSAT",0.206348896026611
12,1148109,"UNSAT",0.205771446228027
13,1147853,"UNSAT",0.205214262008667
14,1147597,"SAT",1435.61701965332
