"iteration","num_clauses","sat_output","time_taken"
1,2409677,"UNSAT",0.364524602890015
2,1777869,"UNSAT",0.294348478317261
3,1461965,"UNSAT",0.254318237304688
4,1304013,"UNSAT",0.242417097091675
5,1225165,"UNSAT",0.243047952651978
6,1185741,"UNSAT",0.218308448791504
7,1166029,"UNSAT",0.215103149414062
8,1156045,"UNSAT",0.208589792251587
9,1151181,"UNSAT",0.201926231384277
10,1148621,"UNSAT",0.203447818756104
11,1147341,"UNSAT",0.205606937408447
12,1146829,"UNSAT",0.202593088150024
13,1146573,"UNSAT",0.211139917373657
14,1146317,"SAT",568.14209985733
