"iteration","num_clauses","sat_output","time_taken"
1,2410573,"UNSAT",0.364373445510864
2,1778765,"UNSAT",0.292687177658081
3,1462861,"UNSAT",0.256510019302368
4,1304909,"UNSAT",0.230156421661377
5,1226061,"UNSAT",0.218746423721313
6,1186637,"UNSAT",0.214076042175293
7,1166925,"UNSAT",0.211078405380249
8,1156941,"UNSAT",0.212205171585083
9,1152077,"UNSAT",0.210793256759644
10,1149517,"UNSAT",0.209992408752441
11,1148237,"UNSAT",0.211361646652222
12,1147725,"UNSAT",0.208374977111816
13,1147469,"UNSAT",0.208636522293091
14,1147213,"SAT",1223.16443276405
