"iteration","num_clauses","sat_output","time_taken"
1,2410189,"UNSAT",0.355386972427368
2,1778381,"UNSAT",0.274096488952637
3,1462477,"UNSAT",0.249515771865845
4,1304525,"UNSAT",0.228944778442383
5,1225677,"UNSAT",0.221268653869629
6,1186253,"UNSAT",0.217856407165527
7,1166541,"UNSAT",0.221083641052246
8,1156557,"UNSAT",0.214544296264648
9,1151693,"UNSAT",0.214572429656982
10,1149133,"UNSAT",0.217768669128418
11,1147853,"UNSAT",0.218419075012207
12,1147341,"UNSAT",0.230637073516846
13,1147085,"UNSAT",0.211603879928589
14,1146829,"SAT",102.426821708679
