"iteration","num_clauses","sat_output","time_taken"
1,2410317,"UNSAT",0.343661546707153
2,1778509,"UNSAT",0.268641233444214
3,1462605,"UNSAT",0.231487274169922
4,1304653,"UNSAT",0.216107845306396
5,1225805,"UNSAT",0.20984673500061
6,1186381,"UNSAT",0.207244634628296
7,1166669,"UNSAT",0.208764791488647
8,1156685,"UNSAT",0.207489490509033
9,1151821,"UNSAT",0.206199884414673
10,1149261,"UNSAT",0.206911087036133
11,1147981,"UNSAT",0.205992937088013
12,1147469,"UNSAT",0.209879875183105
13,1147213,"UNSAT",0.212154865264893
14,1146957,"SAT",11247.8148493767
