"iteration","num_clauses","sat_output","time_taken"
1,2410189,"UNSAT",0.38235330581665
2,1778381,"UNSAT",0.300937652587891
3,1462477,"UNSAT",0.262841463088989
4,1304525,"UNSAT",0.234403371810913
5,1225677,"UNSAT",0.224474191665649
6,1186253,"UNSAT",0.223221063613892
7,1166541,"UNSAT",0.222418546676636
8,1156557,"UNSAT",0.222010135650635
9,1151693,"UNSAT",0.224209070205688
10,1149133,"UNSAT",0.217352628707886
11,1147853,"UNSAT",0.211314678192139
12,1147341,"UNSAT",0.222178220748901
13,1147085,"UNSAT",0.21289587020874
14,1146829,"SAT",113.774966478348
