"iteration","num_clauses","sat_output","time_taken"
1,2410189,"UNSAT",0.350719928741455
2,1778381,"UNSAT",0.286016702651978
3,1462477,"UNSAT",0.250256538391113
4,1304525,"UNSAT",0.231131553649902
5,1225677,"UNSAT",0.218251466751099
6,1186253,"UNSAT",0.207077980041504
7,1166541,"UNSAT",0.211714744567871
8,1156557,"UNSAT",0.21291708946228
9,1151693,"UNSAT",0.210698366165161
10,1149133,"UNSAT",0.210372924804688
11,1147853,"UNSAT",0.213111877441406
12,1147341,"UNSAT",0.210310459136963
13,1147085,"UNSAT",0.206292390823364
14,1146829,"SAT",1023.52920508385
