"iteration","num_clauses","sat_output","time_taken"
1,2410061,"UNSAT",0.364133596420288
2,1778253,"UNSAT",0.288421154022217
3,1462349,"UNSAT",0.251189708709717
4,1304397,"UNSAT",0.232114791870117
5,1225549,"UNSAT",0.218947172164917
6,1186125,"UNSAT",0.214972496032715
7,1166413,"UNSAT",0.207463502883911
8,1156429,"UNSAT",0.207704067230225
9,1151565,"UNSAT",0.207906484603882
10,1149005,"UNSAT",0.212026834487915
11,1147725,"UNSAT",0.20766544342041
12,1147213,"UNSAT",0.210946083068848
13,1146957,"UNSAT",0.264008045196533
14,1146701,"SAT",7001.161465168
