"iteration","num_clauses","sat_output","time_taken"
1,2409805,"UNSAT",0.355381011962891
2,1777997,"UNSAT",0.286217212677002
3,1462093,"UNSAT",0.251378059387207
4,1304141,"UNSAT",0.230798959732056
5,1225293,"UNSAT",0.216472864151001
6,1185869,"UNSAT",0.215035915374756
7,1166157,"UNSAT",0.203075170516968
8,1156173,"UNSAT",0.209899187088013
9,1151309,"UNSAT",0.201439142227173
10,1148749,"UNSAT",0.208836555480957
11,1147469,"UNSAT",0.205287456512451
12,1146957,"UNSAT",0.202560186386108
13,1146701,"UNSAT",0.206821441650391
14,1146445,"SAT",127.987862110138
