"iteration","num_clauses","sat_output","time_taken"
1,2410061,"UNSAT",0.375777006149292
2,1778253,"UNSAT",0.289464473724365
3,1462349,"UNSAT",0.256910800933838
4,1304397,"UNSAT",0.231586694717407
5,1225549,"UNSAT",0.217602252960205
6,1186125,"UNSAT",0.211618185043335
7,1166413,"UNSAT",0.225980758666992
8,1156429,"UNSAT",0.210233926773071
9,1151565,"UNSAT",0.21231484413147
10,1149005,"UNSAT",0.214277505874634
11,1147725,"UNSAT",0.214020013809204
12,1147213,"UNSAT",0.204125881195068
13,1146957,"UNSAT",0.206484079360962
14,1146701,"SAT",1205.31480407715
