"iteration","num_clauses","sat_output","time_taken"
1,2410701,"UNSAT",0.360392808914185
2,1778893,"UNSAT",0.28706169128418
3,1462989,"UNSAT",0.246488809585571
4,1305037,"UNSAT",0.23087477684021
5,1226189,"UNSAT",0.211437463760376
6,1186765,"UNSAT",0.215244770050049
7,1167053,"UNSAT",0.209135293960571
8,1157069,"UNSAT",0.209302186965942
9,1152205,"UNSAT",0.207290887832642
10,1149645,"UNSAT",0.210886001586914
11,1148365,"UNSAT",0.210353374481201
12,1147853,"UNSAT",0.212219476699829
13,1147597,"UNSAT",0.207446098327637
14,1147341,"SAT",546.187146186829
