"iteration","num_clauses","sat_output","time_taken"
1,2410189,"UNSAT",0.372772216796875
2,1778381,"UNSAT",0.298937082290649
3,1462477,"UNSAT",0.255818605422974
4,1304525,"UNSAT",0.226267576217651
5,1225677,"UNSAT",0.227752685546875
6,1186253,"UNSAT",0.222921371459961
7,1166541,"UNSAT",0.21421217918396
8,1156557,"UNSAT",0.217656135559082
9,1151693,"UNSAT",0.212006330490112
10,1149133,"UNSAT",0.208403825759888
11,1147853,"UNSAT",0.208801507949829
12,1147341,"UNSAT",0.21254563331604
13,1147085,"UNSAT",0.216200590133667
14,1146829,"SAT",1015.51434898376
