"iteration","num_clauses","sat_output","time_taken"
1,2409805,"UNSAT",0.357490539550781
2,1777997,"UNSAT",0.289422035217285
3,1462093,"UNSAT",0.249306201934814
4,1304141,"UNSAT",0.224689483642578
5,1225293,"UNSAT",0.222809791564941
6,1185869,"UNSAT",0.213197469711304
7,1166157,"UNSAT",0.215488910675049
8,1156173,"UNSAT",0.213832139968872
9,1151309,"UNSAT",0.211464643478394
10,1148749,"UNSAT",0.210209131240845
11,1147469,"UNSAT",0.214964151382446
12,1146957,"UNSAT",0.208216190338135
13,1146701,"UNSAT",0.213128328323364
14,1146445,"SAT",435.318217277527
