"iteration","num_clauses","sat_output","time_taken"
1,2409677,"UNSAT",0.372896671295166
2,1777869,"UNSAT",0.285139560699463
3,1461965,"UNSAT",0.250910520553589
4,1304013,"UNSAT",0.257507801055908
5,1225165,"UNSAT",0.216799974441528
6,1185741,"UNSAT",0.203868627548218
7,1166029,"UNSAT",0.205113410949707
8,1156045,"UNSAT",0.21137809753418
9,1151181,"UNSAT",0.207507133483887
10,1148621,"UNSAT",0.208332777023315
11,1147341,"UNSAT",0.208570241928101
12,1146829,"UNSAT",0.209716320037842
13,1146573,"UNSAT",0.204373598098755
14,1146317,"SAT",602.435852766037
