"iteration","num_clauses","sat_output","time_taken"
1,2410573,"UNSAT",0.362666130065918
2,1778765,"UNSAT",0.287845611572266
3,1462861,"UNSAT",0.242722272872925
4,1304909,"UNSAT",0.231448411941528
5,1226061,"UNSAT",0.213817834854126
6,1186637,"UNSAT",0.214768171310425
7,1166925,"UNSAT",0.210619211196899
8,1156941,"UNSAT",0.222478628158569
9,1152077,"UNSAT",0.20421576499939
10,1149517,"UNSAT",0.20207953453064
11,1148237,"UNSAT",0.20630145072937
12,1147725,"UNSAT",0.201058626174927
13,1147469,"UNSAT",0.208054065704346
14,1147213,"SAT",1219.27172803879
