"iteration","num_clauses","sat_output","time_taken"
1,2409933,"UNSAT",0.36971640586853
2,1778125,"UNSAT",0.28226375579834
3,1462221,"UNSAT",0.246221542358398
4,1304269,"UNSAT",0.224618434906006
5,1225421,"UNSAT",0.221844911575317
6,1185997,"UNSAT",0.214981079101562
7,1166285,"UNSAT",0.216020822525024
8,1156301,"UNSAT",0.205465078353882
9,1151437,"UNSAT",0.215940475463867
10,1148877,"UNSAT",0.216226816177368
11,1147597,"UNSAT",0.212969064712524
12,1147085,"UNSAT",0.206626415252686
13,1146829,"UNSAT",0.207149505615234
14,1146573,"SAT",1761.71656298637
