"iteration","num_clauses","sat_output","time_taken"
1,2410061,"UNSAT",0.363552093505859
2,1778253,"UNSAT",0.28644585609436
3,1462349,"UNSAT",0.246395349502563
4,1304397,"UNSAT",0.231428861618042
5,1225549,"UNSAT",0.214205265045166
6,1186125,"UNSAT",0.219426155090332
7,1166413,"UNSAT",0.215271472930908
8,1156429,"UNSAT",0.206908702850342
9,1151565,"UNSAT",0.216845989227295
10,1149005,"UNSAT",0.21577787399292
11,1147725,"UNSAT",0.213402509689331
12,1147213,"UNSAT",0.209880828857422
13,1146957,"UNSAT",0.214923620223999
14,1146701,"SAT",1174.07092261314
