"iteration","num_clauses","sat_output","time_taken"
1,2410957,"UNSAT",0.35486888885498
2,1779149,"UNSAT",0.288242816925049
3,1463245,"UNSAT",0.254109144210815
4,1305293,"UNSAT",0.227908611297607
5,1226445,"UNSAT",0.22083568572998
6,1187021,"UNSAT",0.215654134750366
7,1167309,"UNSAT",0.21182107925415
8,1157325,"UNSAT",0.199366807937622
9,1152461,"UNSAT",0.207943439483643
10,1149901,"UNSAT",0.201273918151855
11,1148621,"UNSAT",0.208501577377319
12,1148109,"UNSAT",0.208930969238281
13,1147853,"UNSAT",0.20630145072937
14,1147597,"SAT",1439.76143884659
