"iteration","num_clauses","sat_output","time_taken"
1,2410573,"UNSAT",0.366153478622437
2,1778765,"UNSAT",0.290173292160034
3,1462861,"UNSAT",0.250513076782227
4,1304909,"UNSAT",0.23276424407959
5,1226061,"UNSAT",0.218577146530151
6,1186637,"UNSAT",0.216975927352905
7,1166925,"UNSAT",0.213460445404053
8,1156941,"UNSAT",0.209877967834473
9,1152077,"UNSAT",0.207361698150635
10,1149517,"UNSAT",0.209348201751709
11,1148237,"UNSAT",0.209214925765991
12,1147725,"UNSAT",0.204781770706177
13,1147469,"UNSAT",0.207143783569336
14,1147213,"SAT",1227.48492455482
