"iteration","num_clauses","sat_output","time_taken"
1,2410189,"UNSAT",0.359059810638428
2,1778381,"UNSAT",0.290024757385254
3,1462477,"UNSAT",0.253286123275757
4,1304525,"UNSAT",0.224114418029785
5,1225677,"UNSAT",0.217905044555664
6,1186253,"UNSAT",0.216719627380371
7,1166541,"UNSAT",0.209590673446655
8,1156557,"UNSAT",0.211030721664429
9,1151693,"UNSAT",0.210441112518311
10,1149133,"UNSAT",0.210164308547974
11,1147853,"UNSAT",0.209852933883667
12,1147341,"UNSAT",0.20359468460083
13,1147085,"UNSAT",0.205639362335205
14,1146829,"SAT",262.63330411911
