"iteration","num_clauses","sat_output","time_taken"
1,2410445,"UNSAT",0.37755298614502
2,1778637,"UNSAT",0.294758558273315
3,1462733,"UNSAT",0.256493330001831
4,1304781,"UNSAT",0.229861497879028
5,1225933,"UNSAT",0.22716212272644
6,1186509,"UNSAT",0.21527624130249
7,1166797,"UNSAT",0.213738918304443
8,1156813,"UNSAT",0.21603536605835
9,1151949,"UNSAT",0.212234020233154
10,1149389,"UNSAT",0.211443901062012
11,1148109,"UNSAT",0.210039854049683
12,1147597,"UNSAT",0.210604667663574
13,1147341,"UNSAT",0.208744049072266
14,1147085,"SAT",1445.36632990837
