"iteration","num_clauses","sat_output","time_taken"
1,2410701,"UNSAT",0.36032247543335
2,1778893,"UNSAT",0.286385774612427
3,1462989,"UNSAT",0.246838331222534
4,1305037,"UNSAT",0.232261180877686
5,1226189,"UNSAT",0.222400903701782
6,1186765,"UNSAT",0.21756386756897
7,1167053,"UNSAT",0.213886737823486
8,1157069,"UNSAT",0.207854747772217
9,1152205,"UNSAT",0.211263656616211
10,1149645,"UNSAT",0.213077545166016
11,1148365,"UNSAT",0.208646535873413
12,1147853,"UNSAT",0.206940889358521
13,1147597,"UNSAT",0.208530902862549
14,1147341,"SAT",564.548249483109
