"iteration","num_clauses","sat_output","time_taken"
1,2409805,"UNSAT",0.378062009811401
2,1777997,"UNSAT",0.300864696502686
3,1462093,"UNSAT",0.255503416061401
4,1304141,"UNSAT",0.225933074951172
5,1225293,"UNSAT",0.238559722900391
6,1185869,"UNSAT",0.217770576477051
7,1166157,"UNSAT",0.216761350631714
8,1156173,"UNSAT",0.215792655944824
9,1151309,"UNSAT",0.215012550354004
10,1148749,"UNSAT",0.215918064117432
11,1147469,"UNSAT",0.212835311889648
12,1146957,"UNSAT",0.211670160293579
13,1146701,"UNSAT",0.214523792266846
14,1146445,"SAT",440.155129671097
