"iteration","num_clauses","sat_output","time_taken"
1,2410445,"UNSAT",0.363231658935547
2,1778637,"UNSAT",0.287140846252441
3,1462733,"UNSAT",0.245700836181641
4,1304781,"UNSAT",0.231005430221558
5,1225933,"UNSAT",0.221157073974609
6,1186509,"UNSAT",0.216559171676636
7,1166797,"UNSAT",0.208784341812134
8,1156813,"UNSAT",0.212285757064819
9,1151949,"UNSAT",0.209207773208618
10,1149389,"UNSAT",0.207800388336182
11,1148109,"UNSAT",0.212921380996704
12,1147597,"UNSAT",0.208468198776245
13,1147341,"UNSAT",0.208572149276733
14,1147085,"SAT",1689.47867417336
