"iteration","num_clauses","sat_output","time_taken"
1,2409805,"UNSAT",0.354493141174316
2,1777997,"UNSAT",0.279796361923218
3,1462093,"UNSAT",0.24749755859375
4,1304141,"UNSAT",0.219423532485962
5,1225293,"UNSAT",0.217795848846436
6,1185869,"UNSAT",0.21138858795166
7,1166157,"UNSAT",0.209890365600586
8,1156173,"UNSAT",0.208810091018677
9,1151309,"UNSAT",0.205058097839355
10,1148749,"UNSAT",0.206839084625244
11,1147469,"UNSAT",0.198686838150024
12,1146957,"UNSAT",0.203977584838867
13,1146701,"UNSAT",0.207502841949463
14,1146445,"SAT",129.769382238388
