"iteration","num_clauses","sat_output","time_taken"
1,2410445,"UNSAT",0.367398500442505
2,1778637,"UNSAT",0.288928031921387
3,1462733,"UNSAT",0.241897106170654
4,1304781,"UNSAT",0.234944820404053
5,1225933,"UNSAT",0.217455863952637
6,1186509,"UNSAT",0.212687492370605
7,1166797,"UNSAT",0.218491792678833
8,1156813,"UNSAT",0.210686206817627
9,1151949,"UNSAT",0.209238767623901
10,1149389,"UNSAT",0.209329605102539
11,1148109,"UNSAT",0.209408044815063
12,1147597,"UNSAT",0.209550142288208
13,1147341,"UNSAT",0.208902597427368
14,1147085,"SAT",1401.84520077705
