"iteration","num_clauses","sat_output","time_taken"
1,2409933,"UNSAT",0.369413137435913
2,1778125,"UNSAT",0.295976638793945
3,1462221,"UNSAT",0.255585193634033
4,1304269,"UNSAT",0.23102593421936
5,1225421,"UNSAT",0.217723846435547
6,1185997,"UNSAT",0.217813968658447
7,1166285,"UNSAT",0.217284440994263
8,1156301,"UNSAT",0.207582473754883
9,1151437,"UNSAT",0.209166288375854
10,1148877,"UNSAT",0.206955194473267
11,1147597,"UNSAT",0.203405857086182
12,1147085,"UNSAT",0.211927652359009
13,1146829,"UNSAT",0.204720497131348
14,1146573,"SAT",646.730112314224
