"iteration","num_clauses","sat_output","time_taken"
1,2409805,"UNSAT",0.371826410293579
2,1777997,"UNSAT",0.291793823242188
3,1462093,"UNSAT",0.255725145339966
4,1304141,"UNSAT",0.233433961868286
5,1225293,"UNSAT",0.22443699836731
6,1185869,"UNSAT",0.215891361236572
7,1166157,"UNSAT",0.218001365661621
8,1156173,"UNSAT",0.21431303024292
9,1151309,"UNSAT",0.216538906097412
10,1148749,"UNSAT",0.213258504867554
11,1147469,"UNSAT",0.210655689239502
12,1146957,"UNSAT",0.215860605239868
13,1146701,"UNSAT",0.212732791900635
14,1146445,"SAT",440.886589050293
