"id","cluster"
"S38189655",123
"S36925097",49
"S37855352",112
"G2509499",6
"S37205325",49
"S37651445",76
"S37062372",125
"S37481244",36
"S37219656",49
"S37921164",119
"S37130449",91
"S37764409",105
"S37341585",17
"S38223616",90
"S37915601",96
"S38223505",4
"S37393596",37
"S38138604",56
"S38223509",3
"S37701184",110
"S38152163",77
"S44471693",126
"S37377562",84
"G2520170",14
"S44471692",13
"S37335756",39
"S44471709",120
"G2520118",31
"S37457609",127
"S37799913",33
"S37433010",104
"G2520148",19
"G2509509",79
"G2520117",69
"S37341678",109
"S37891588",66
"S37057117",85
"S37219766",48
"S38223463",117
"G2520108",81
"S37362081",15
"S36965006",26
"S36965076",108
"S37745681",49
"S37362820",80
"S37219748",68
"G2489606",25
"S37394083",87
"S37130473",34
"S38131880",23
"G2520156",116
"S38090238",106
"S36890278",12
"S37426873",101
"S37614749",9
"S38223498",43
"S38223523",59
"S38223524",83
"S37027197",33
"S37361598",95
"S37784762",122
"S37295719",75
"S44471694",46
"S38223608",64
"S37748385",111
"S38016922",88
"S38016276",115
"G2509493",42
"G2520158",16
"S44471701",32
"S37346120",43
"S37341698",118
"S38223551",61
"S37628999",33
"S38223544",33
"S37301402",121
"S37082312",92
"S37130478",32
"S36965328",63
"S37438943",30
"S38223514",2
"G2536278",113
"S37214834",8
"G2520126",114
"S37874088",71
"S38104673",29
"S37186761",58
"S37186827",33
"S38015186",80
"S37130183",107
"S37341575",7
"S37702120",51
"S38053660",65
"S37781267",99
"S38019554",33
"G2520096",82
"S37741298",100
"S38223517",103
"S37958723",67
"S38045614",73
"S37296890",124
"S37323869",33
"G2537419",18
"S38104678",72
"S36951537",41
"S38223537",35
"S37191945",28
"S38090395",47
"G3293357",55
"S37138222",10
"G2439050",102
"S37651488",52
"S37185700",38
"S38223459",24
"S36925239",78
"S37292574",21
"S37790851",33
"S38223495",70
"S37855427",27
"S37855448",44
"S37205058",54
"G2520142",74
"S38223472",97
"S37256426",57
"S37341647",62
"S37341705",20
"G2537680",1
"S37256410",86
"S37889120",40
"S38223540",11
"S37915546",50
"S38046972",93
"S37794227",98
"S37204935",128
"G2520099",5
"S37361121",89
"S37666668",53
"S37027176",60
"S37695562",45
"S37341554",22
"S38020844",94
