"id","cluster"
"S38189655",33
"S36925097",34
"S37855352",22
"G2509499",57
"S37205325",97
"S37651445",97
"S37062372",48
"S37481244",99
"S37219656",1
"S37921164",56
"S37130449",123
"S37764409",23
"S37341585",104
"S38223616",72
"S37915601",102
"S38223505",57
"S37393596",15
"S38138604",26
"S38223509",35
"S37701184",88
"S38152163",38
"S44471693",65
"S37377562",76
"G2520170",32
"S44471692",2
"S37335756",62
"S44471709",14
"G2520118",81
"S37457609",30
"S37799913",52
"S37433010",94
"G2520148",24
"G2509509",12
"G2520117",6
"S37341678",43
"S37891588",115
"S37057117",42
"S37219766",126
"S38223463",89
"G2520108",11
"S37362081",125
"S36965006",122
"S36965076",114
"S37745681",87
"S37362820",128
"S37219748",86
"G2489606",21
"S37394083",53
"S37130473",122
"S38131880",96
"G2520156",120
"S38090238",77
"S36890278",93
"S37426873",38
"S37614749",92
"S38223498",46
"S38223523",17
"S38223524",48
"S37027197",13
"S37361598",19
"S37784762",55
"S37295719",69
"S44471694",59
"S38223608",105
"S37748385",68
"S38016922",20
"S38016276",39
"G2509493",113
"G2520158",109
"S44471701",25
"S37346120",119
"S37341698",79
"S38223551",79
"S37628999",98
"S38223544",98
"S37301402",122
"S37082312",121
"S37130478",4
"S36965328",101
"S37438943",8
"S38223514",78
"G2536278",60
"S37214834",110
"G2520126",66
"S37874088",71
"S38104673",45
"S37186761",27
"S37186827",115
"S38015186",80
"S37130183",67
"S37341575",112
"S37702120",16
"S38053660",111
"S37781267",5
"S38019554",82
"G2520096",54
"S37741298",37
"S38223517",44
"S37958723",84
"S38045614",58
"S37296890",106
"S37323869",41
"G2537419",75
"S38104678",23
"S36951537",83
"S38223537",28
"S37191945",124
"S38090395",9
"G3293357",73
"S37138222",100
"G2439050",124
"S37651488",103
"S37185700",49
"S38223459",10
"S36925239",31
"S37292574",85
"S37790851",70
"S38223495",91
"S37855427",107
"S37855448",50
"S37205058",59
"G2520142",95
"S38223472",108
"S37256426",64
"S37341647",6
"S37341705",47
"G2537680",29
"S37256410",116
"S37889120",118
"S38223540",74
"S37915546",61
"S38046972",117
"S37794227",40
"S37204935",63
"G2520099",127
"S37361121",51
"S37666668",36
"S37027176",7
"S37695562",90
"S37341554",18
"S38020844",3
