"id","cluster"
"S38189655",97
"S36925097",79
"S37855352",36
"G2509499",62
"S37205325",68
"S37651445",103
"S37062372",35
"S37481244",54
"S37219656",110
"S37921164",89
"S37130449",2
"S37764409",10
"S37341585",40
"S38223616",87
"S37915601",15
"S38223505",3
"S37393596",88
"S38138604",16
"S38223509",17
"S37701184",58
"S38152163",74
"S44471693",38
"S37377562",25
"G2520170",100
"S44471692",27
"S37335756",102
"S44471709",31
"G2520118",55
"S37457609",2
"S37799913",66
"S37433010",73
"G2520148",85
"G2509509",4
"G2520117",5
"S37341678",83
"S37891588",46
"S37057117",60
"S37219766",37
"S38223463",76
"G2520108",119
"S37362081",91
"S36965006",64
"S36965076",75
"S37745681",21
"S37362820",99
"S37219748",114
"G2489606",39
"S37394083",20
"S37130473",61
"S38131880",50
"G2520156",53
"S38090238",127
"S36890278",109
"S37426873",90
"S37614749",71
"S38223498",109
"S38223523",56
"S38223524",120
"S37027197",59
"S37361598",29
"S37784762",33
"S37295719",26
"S44471694",67
"S38223608",45
"S37748385",111
"S38016922",122
"S38016276",84
"G2509493",125
"G2520158",86
"S44471701",22
"S37346120",104
"S37341698",63
"S38223551",86
"S37628999",41
"S38223544",70
"S37301402",32
"S37082312",21
"S37130478",70
"S36965328",80
"S37438943",45
"S38223514",9
"G2536278",12
"S37214834",51
"G2520126",107
"S37874088",92
"S38104673",34
"S37186761",8
"S37186827",78
"S38015186",59
"S37130183",52
"S37341575",94
"S37702120",11
"S38053660",118
"S37781267",121
"S38019554",108
"G2520096",112
"S37741298",123
"S38223517",42
"S37958723",43
"S38045614",23
"S37296890",105
"S37323869",77
"G2537419",113
"S38104678",21
"S36951537",19
"S38223537",13
"S37191945",95
"S38090395",101
"G3293357",6
"S37138222",72
"G2439050",65
"S37651488",48
"S37185700",44
"S38223459",117
"S36925239",30
"S37292574",59
"S37790851",69
"S38223495",57
"S37855427",45
"S37855448",104
"S37205058",24
"G2520142",96
"S38223472",128
"S37256426",14
"S37341647",18
"S37341705",124
"G2537680",116
"S37256410",28
"S37889120",126
"S38223540",49
"S37915546",7
"S38046972",81
"S37794227",93
"S37204935",82
"G2520099",106
"S37361121",58
"S37666668",18
"S37027176",47
"S37695562",115
"S37341554",98
"S38020844",1
