"id","cluster"
"S38189655",31
"S36925097",10
"S37855352",70
"G2509499",79
"S37205325",17
"S37651445",59
"S37062372",9
"S37481244",49
"S37219656",82
"S37921164",102
"S37130449",15
"S37764409",35
"S37341585",45
"S38223616",78
"S37915601",22
"S38223505",60
"S37393596",104
"S38138604",81
"S38223509",51
"S37701184",41
"S38152163",37
"S44471693",74
"S37377562",38
"G2520170",91
"S44471692",28
"S37335756",61
"S44471709",80
"G2520118",13
"S37457609",119
"S37799913",23
"S37433010",124
"G2520148",93
"G2509509",84
"G2520117",3
"S37341678",62
"S37891588",87
"S37057117",36
"S37219766",30
"S38223463",85
"G2520108",73
"S37362081",12
"S36965006",92
"S36965076",24
"S37745681",8
"S37362820",109
"S37219748",6
"G2489606",107
"S37394083",114
"S37130473",118
"S38131880",19
"G2520156",75
"S38090238",95
"S36890278",73
"S37426873",58
"S37614749",89
"S38223498",66
"S38223523",67
"S38223524",25
"S37027197",112
"S37361598",63
"S37784762",38
"S37295719",52
"S44471694",103
"S38223608",71
"S37748385",55
"S38016922",128
"S38016276",64
"G2509493",7
"G2520158",117
"S44471701",99
"S37346120",116
"S37341698",120
"S38223551",54
"S37628999",24
"S38223544",33
"S37301402",11
"S37082312",98
"S37130478",73
"S36965328",24
"S37438943",24
"S38223514",53
"G2536278",38
"S37214834",21
"G2520126",16
"S37874088",34
"S38104673",77
"S37186761",24
"S37186827",38
"S38015186",47
"S37130183",73
"S37341575",57
"S37702120",68
"S38053660",56
"S37781267",44
"S38019554",32
"G2520096",42
"S37741298",90
"S38223517",127
"S37958723",46
"S38045614",125
"S37296890",108
"S37323869",14
"G2537419",72
"S38104678",1
"S36951537",96
"S38223537",110
"S37191945",86
"S38090395",27
"G3293357",88
"S37138222",106
"G2439050",26
"S37651488",5
"S37185700",43
"S38223459",100
"S36925239",24
"S37292574",126
"S37790851",69
"S38223495",65
"S37855427",76
"S37855448",29
"S37205058",97
"G2520142",101
"S38223472",38
"S37256426",83
"S37341647",105
"S37341705",24
"G2537680",121
"S37256410",113
"S37889120",111
"S38223540",39
"S37915546",40
"S38046972",2
"S37794227",18
"S37204935",50
"G2520099",4
"S37361121",115
"S37666668",123
"S37027176",94
"S37695562",20
"S37341554",122
"S38020844",48
