"id","cluster"
"S38189655",59
"S36925097",111
"S37855352",81
"G2509499",60
"S37205325",61
"S37651445",61
"S37062372",69
"S37481244",100
"S37219656",63
"S37921164",44
"S37130449",82
"S37764409",47
"S37341585",123
"S38223616",50
"S37915601",34
"S38223505",14
"S37393596",2
"S38138604",91
"S38223509",113
"S37701184",76
"S38152163",97
"S44471693",58
"S37377562",72
"G2520170",73
"S44471692",38
"S37335756",42
"S44471709",70
"G2520118",31
"S37457609",77
"S37799913",74
"S37433010",87
"G2520148",57
"G2509509",3
"G2520117",68
"S37341678",26
"S37891588",21
"S37057117",110
"S37219766",128
"S38223463",90
"G2520108",33
"S37362081",21
"S36965006",94
"S36965076",92
"S37745681",48
"S37362820",51
"S37219748",107
"G2489606",93
"S37394083",55
"S37130473",18
"S38131880",103
"G2520156",95
"S38090238",32
"S36890278",127
"S37426873",50
"S37614749",67
"S38223498",99
"S38223523",22
"S38223524",22
"S37027197",4
"S37361598",116
"S37784762",96
"S37295719",98
"S44471694",71
"S38223608",104
"S37748385",41
"S38016922",40
"S38016276",56
"G2509493",39
"G2520158",119
"S44471701",124
"S37346120",45
"S37341698",63
"S38223551",63
"S37628999",101
"S38223544",101
"S37301402",115
"S37082312",17
"S37130478",35
"S36965328",80
"S37438943",80
"S38223514",120
"G2536278",27
"S37214834",83
"G2520126",37
"S37874088",19
"S38104673",108
"S37186761",94
"S37186827",53
"S38015186",91
"S37130183",8
"S37341575",88
"S37702120",62
"S38053660",25
"S37781267",6
"S38019554",122
"G2520096",126
"S37741298",33
"S38223517",105
"S37958723",7
"S38045614",64
"S37296890",30
"S37323869",89
"G2537419",54
"S38104678",10
"S36951537",65
"S38223537",117
"S37191945",106
"S38090395",121
"G3293357",75
"S37138222",15
"G2439050",10
"S37651488",46
"S37185700",12
"S38223459",78
"S36925239",109
"S37292574",1
"S37790851",114
"S38223495",43
"S37855427",20
"S37855448",84
"S37205058",49
"G2520142",85
"S38223472",23
"S37256426",5
"S37341647",112
"S37341705",79
"G2537680",16
"S37256410",118
"S37889120",102
"S38223540",77
"S37915546",52
"S38046972",24
"S37794227",36
"S37204935",29
"G2520099",9
"S37361121",28
"S37666668",66
"S37027176",13
"S37695562",86
"S37341554",125
"S38020844",11
