"id","cluster"
"S38189655",22
"S36925097",108
"S37855352",6
"G2509499",80
"S37205325",114
"S37651445",91
"S37062372",47
"S37481244",18
"S37219656",31
"S37921164",126
"S37130449",52
"S37764409",56
"S37341585",95
"S38223616",19
"S37915601",127
"S38223505",46
"S37393596",70
"S38138604",4
"S38223509",14
"S37701184",101
"S38152163",123
"S44471693",102
"S37377562",50
"G2520170",79
"S44471692",84
"S37335756",89
"S44471709",113
"G2520118",54
"S37457609",56
"S37799913",36
"S37433010",75
"G2520148",10
"G2509509",38
"G2520117",86
"S37341678",26
"S37891588",90
"S37057117",106
"S37219766",93
"S38223463",63
"G2520108",10
"S37362081",3
"S36965006",60
"S36965076",112
"S37745681",41
"S37362820",11
"S37219748",73
"G2489606",2
"S37394083",95
"S37130473",44
"S38131880",16
"G2520156",27
"S38090238",109
"S36890278",57
"S37426873",124
"S37614749",23
"S38223498",37
"S38223523",64
"S38223524",35
"S37027197",103
"S37361598",116
"S37784762",28
"S37295719",7
"S44471694",69
"S38223608",76
"S37748385",128
"S38016922",48
"S38016276",9
"G2509493",95
"G2520158",30
"S44471701",29
"S37346120",43
"S37341698",71
"S38223551",59
"S37628999",56
"S38223544",56
"S37301402",58
"S37082312",107
"S37130478",55
"S36965328",68
"S37438943",56
"S38223514",32
"G2536278",33
"S37214834",20
"G2520126",81
"S37874088",65
"S38104673",15
"S37186761",118
"S37186827",56
"S38015186",83
"S37130183",125
"S37341575",97
"S37702120",39
"S38053660",40
"S37781267",94
"S38019554",49
"G2520096",98
"S37741298",34
"S38223517",95
"S37958723",21
"S38045614",67
"S37296890",12
"S37323869",8
"G2537419",51
"S38104678",53
"S36951537",119
"S38223537",2
"S37191945",13
"S38090395",78
"G3293357",100
"S37138222",5
"G2439050",24
"S37651488",87
"S37185700",110
"S38223459",72
"S36925239",117
"S37292574",95
"S37790851",62
"S38223495",42
"S37855427",120
"S37855448",61
"S37205058",115
"G2520142",77
"S38223472",99
"S37256426",25
"S37341647",1
"S37341705",10
"G2537680",104
"S37256410",122
"S37889120",111
"S38223540",82
"S37915546",45
"S38046972",88
"S37794227",96
"S37204935",92
"G2520099",56
"S37361121",85
"S37666668",17
"S37027176",105
"S37695562",121
"S37341554",74
"S38020844",66
