"id","cluster"
"S38189655",25
"S36925097",45
"S37855352",5
"G2509499",102
"S37205325",90
"S37651445",128
"S37062372",46
"S37481244",60
"S37219656",64
"S37921164",112
"S37130449",78
"S37764409",109
"S37341585",74
"S38223616",49
"S37915601",6
"S38223505",53
"S37393596",85
"S38138604",79
"S38223509",11
"S37701184",18
"S38152163",14
"S44471693",60
"S37377562",94
"G2520170",26
"S44471692",87
"S37335756",90
"S44471709",57
"G2520118",7
"S37457609",114
"S37799913",52
"S37433010",63
"G2520148",20
"G2509509",28
"G2520117",111
"S37341678",60
"S37891588",19
"S37057117",7
"S37219766",8
"S38223463",50
"G2520108",89
"S37362081",92
"S36965006",107
"S36965076",66
"S37745681",38
"S37362820",35
"S37219748",65
"G2489606",44
"S37394083",22
"S37130473",21
"S38131880",99
"G2520156",93
"S38090238",30
"S36890278",33
"S37426873",95
"S37614749",7
"S38223498",60
"S38223523",91
"S38223524",12
"S37027197",100
"S37361598",124
"S37784762",101
"S37295719",103
"S44471694",82
"S38223608",115
"S37748385",126
"S38016922",119
"S38016276",17
"G2509493",75
"G2520158",80
"S44471701",110
"S37346120",29
"S37341698",118
"S38223551",118
"S37628999",76
"S38223544",76
"S37301402",68
"S37082312",37
"S37130478",113
"S36965328",105
"S37438943",31
"S38223514",5
"G2536278",54
"S37214834",96
"G2520126",58
"S37874088",108
"S38104673",104
"S37186761",125
"S37186827",27
"S38015186",69
"S37130183",70
"S37341575",73
"S37702120",4
"S38053660",41
"S37781267",16
"S38019554",1
"G2520096",97
"S37741298",32
"S38223517",117
"S37958723",33
"S38045614",67
"S37296890",40
"S37323869",121
"G2537419",86
"S38104678",84
"S36951537",43
"S38223537",9
"S37191945",47
"S38090395",13
"G3293357",81
"S37138222",23
"G2439050",120
"S37651488",90
"S37185700",59
"S38223459",98
"S36925239",62
"S37292574",34
"S37790851",5
"S38223495",42
"S37855427",15
"S37855448",56
"S37205058",123
"G2520142",72
"S38223472",61
"S37256426",122
"S37341647",3
"S37341705",24
"G2537680",48
"S37256410",55
"S37889120",71
"S38223540",106
"S37915546",83
"S38046972",36
"S37794227",10
"S37204935",88
"G2520099",51
"S37361121",2
"S37666668",127
"S37027176",60
"S37695562",77
"S37341554",116
"S38020844",39
