"id","cluster"
"S38189655",16
"S36925097",109
"S37855352",57
"G2509499",60
"S37205325",67
"S37651445",8
"S37062372",68
"S37481244",38
"S37219656",58
"S37921164",88
"S37130449",31
"S37764409",115
"S37341585",36
"S38223616",27
"S37915601",123
"S38223505",50
"S37393596",53
"S38138604",74
"S38223509",11
"S37701184",115
"S38152163",37
"S44471693",99
"S37377562",111
"G2520170",77
"S44471692",89
"S37335756",12
"S44471709",22
"G2520118",50
"S37457609",51
"S37799913",115
"S37433010",71
"G2520148",117
"G2509509",124
"G2520117",22
"S37341678",125
"S37891588",18
"S37057117",72
"S37219766",44
"S38223463",110
"G2520108",80
"S37362081",41
"S36965006",22
"S36965076",35
"S37745681",5
"S37362820",42
"S37219748",17
"G2489606",64
"S37394083",78
"S37130473",21
"S38131880",127
"G2520156",34
"S38090238",40
"S36890278",46
"S37426873",26
"S37614749",30
"S38223498",119
"S38223523",28
"S38223524",3
"S37027197",20
"S37361598",91
"S37784762",128
"S37295719",120
"S44471694",56
"S38223608",93
"S37748385",90
"S38016922",19
"S38016276",112
"G2509493",7
"G2520158",73
"S44471701",96
"S37346120",84
"S37341698",24
"S38223551",114
"S37628999",25
"S38223544",29
"S37301402",86
"S37082312",79
"S37130478",118
"S36965328",62
"S37438943",70
"S38223514",69
"G2536278",113
"S37214834",47
"G2520126",108
"S37874088",75
"S38104673",115
"S37186761",14
"S37186827",2
"S38015186",76
"S37130183",22
"S37341575",107
"S37702120",13
"S38053660",94
"S37781267",81
"S38019554",49
"G2520096",6
"S37741298",121
"S38223517",1
"S37958723",99
"S38045614",95
"S37296890",9
"S37323869",43
"G2537419",97
"S38104678",61
"S36951537",115
"S38223537",4
"S37191945",105
"S38090395",65
"G3293357",115
"S37138222",32
"G2439050",122
"S37651488",98
"S37185700",106
"S38223459",101
"S36925239",66
"S37292574",10
"S37790851",100
"S38223495",92
"S37855427",126
"S37855448",115
"S37205058",83
"G2520142",15
"S38223472",59
"S37256426",55
"S37341647",82
"S37341705",85
"G2537680",68
"S37256410",52
"S37889120",48
"S38223540",54
"S37915546",1
"S38046972",45
"S37794227",87
"S37204935",102
"G2520099",23
"S37361121",116
"S37666668",39
"S37027176",103
"S37695562",63
"S37341554",33
"S38020844",104
