"id","cluster"
"S38189655",100
"S36925097",39
"S37855352",28
"G2509499",128
"S37205325",108
"S37651445",108
"S37062372",105
"S37481244",82
"S37219656",115
"S37921164",62
"S37130449",94
"S37764409",9
"S37341585",19
"S38223616",76
"S37915601",9
"S38223505",47
"S37393596",118
"S38138604",111
"S38223509",38
"S37701184",57
"S38152163",29
"S44471693",50
"S37377562",78
"G2520170",51
"S44471692",56
"S37335756",113
"S44471709",123
"G2520118",59
"S37457609",96
"S37799913",58
"S37433010",86
"G2520148",60
"G2509509",126
"G2520117",53
"S37341678",36
"S37891588",68
"S37057117",9
"S37219766",102
"S38223463",74
"G2520108",80
"S37362081",75
"S36965006",14
"S36965076",21
"S37745681",1
"S37362820",45
"S37219748",31
"G2489606",81
"S37394083",7
"S37130473",63
"S38131880",103
"G2520156",90
"S38090238",43
"S36890278",52
"S37426873",20
"S37614749",33
"S38223498",30
"S38223523",35
"S38223524",117
"S37027197",25
"S37361598",108
"S37784762",9
"S37295719",48
"S44471694",109
"S38223608",88
"S37748385",24
"S38016922",112
"S38016276",110
"G2509493",49
"G2520158",37
"S44471701",6
"S37346120",106
"S37341698",12
"S38223551",12
"S37628999",9
"S38223544",9
"S37301402",16
"S37082312",84
"S37130478",107
"S36965328",93
"S37438943",89
"S38223514",83
"G2536278",73
"S37214834",55
"G2520126",65
"S37874088",114
"S38104673",9
"S37186761",95
"S37186827",27
"S38015186",4
"S37130183",11
"S37341575",42
"S37702120",97
"S38053660",124
"S37781267",127
"S38019554",5
"G2520096",3
"S37741298",26
"S38223517",67
"S37958723",122
"S38045614",87
"S37296890",13
"S37323869",72
"G2537419",15
"S38104678",2
"S36951537",54
"S38223537",9
"S37191945",9
"S38090395",61
"G3293357",104
"S37138222",22
"G2439050",116
"S37651488",9
"S37185700",101
"S38223459",71
"S36925239",79
"S37292574",98
"S37790851",34
"S38223495",40
"S37855427",41
"S37855448",99
"S37205058",70
"G2520142",92
"S38223472",46
"S37256426",44
"S37341647",32
"S37341705",77
"G2537680",18
"S37256410",64
"S37889120",8
"S38223540",121
"S37915546",10
"S38046972",69
"S37794227",119
"S37204935",64
"G2520099",17
"S37361121",120
"S37666668",85
"S37027176",66
"S37695562",125
"S37341554",23
"S38020844",91
