"id","cluster"
"S38189655",31
"S36925097",43
"S37855352",88
"G2509499",29
"S37205325",74
"S37651445",80
"S37062372",124
"S37481244",40
"S37219656",71
"S37921164",17
"S37130449",54
"S37764409",44
"S37341585",75
"S38223616",127
"S37915601",61
"S38223505",33
"S37393596",121
"S38138604",20
"S38223509",58
"S37701184",50
"S38152163",102
"S44471693",122
"S37377562",107
"G2520170",22
"S44471692",115
"S37335756",103
"S44471709",70
"G2520118",121
"S37457609",2
"S37799913",14
"S37433010",81
"G2520148",56
"G2509509",126
"G2520117",91
"S37341678",34
"S37891588",8
"S37057117",63
"S37219766",106
"S38223463",3
"G2520108",78
"S37362081",68
"S36965006",89
"S36965076",94
"S37745681",5
"S37362820",19
"S37219748",72
"G2489606",21
"S37394083",11
"S37130473",18
"S38131880",15
"G2520156",45
"S38090238",16
"S36890278",123
"S37426873",90
"S37614749",84
"S38223498",76
"S38223523",117
"S38223524",47
"S37027197",100
"S37361598",65
"S37784762",128
"S37295719",96
"S44471694",100
"S38223608",56
"S37748385",25
"S38016922",23
"S38016276",108
"G2509493",118
"G2520158",55
"S44471701",41
"S37346120",119
"S37341698",36
"S38223551",86
"S37628999",112
"S38223544",79
"S37301402",30
"S37082312",42
"S37130478",48
"S36965328",116
"S37438943",107
"S38223514",101
"G2536278",87
"S37214834",71
"G2520126",110
"S37874088",6
"S38104673",87
"S37186761",35
"S37186827",105
"S38015186",37
"S37130183",67
"S37341575",104
"S37702120",9
"S38053660",82
"S37781267",99
"S38019554",12
"G2520096",28
"S37741298",46
"S38223517",59
"S37958723",35
"S38045614",4
"S37296890",13
"S37323869",64
"G2537419",113
"S38104678",66
"S36951537",88
"S38223537",73
"S37191945",39
"S38090395",83
"G3293357",7
"S37138222",26
"G2439050",111
"S37651488",95
"S37185700",77
"S38223459",120
"S36925239",93
"S37292574",24
"S37790851",5
"S38223495",109
"S37855427",102
"S37855448",98
"S37205058",49
"G2520142",60
"S38223472",52
"S37256426",125
"S37341647",53
"S37341705",71
"G2537680",38
"S37256410",85
"S37889120",69
"S38223540",10
"S37915546",1
"S38046972",92
"S37794227",51
"S37204935",62
"G2520099",97
"S37361121",57
"S37666668",15
"S37027176",114
"S37695562",110
"S37341554",32
"S38020844",27
