"id","cluster"
"S38189655",3
"S36925097",49
"S37855352",36
"G2509499",6
"S37205325",35
"S37651445",7
"S37062372",96
"S37481244",9
"S37219656",39
"S37921164",53
"S37130449",12
"S37764409",117
"S37341585",109
"S38223616",26
"S37915601",59
"S38223505",115
"S37393596",121
"S38138604",42
"S38223509",90
"S37701184",50
"S38152163",28
"S44471693",83
"S37377562",107
"G2520170",97
"S44471692",28
"S37335756",62
"S44471709",24
"G2520118",10
"S37457609",110
"S37799913",99
"S37433010",78
"G2520148",113
"G2509509",19
"G2520117",104
"S37341678",122
"S37891588",87
"S37057117",112
"S37219766",124
"S38223463",5
"G2520108",72
"S37362081",120
"S36965006",69
"S36965076",61
"S37745681",65
"S37362820",75
"S37219748",116
"G2489606",20
"S37394083",57
"S37130473",89
"S38131880",92
"G2520156",18
"S38090238",105
"S36890278",43
"S37426873",17
"S37614749",81
"S38223498",37
"S38223523",91
"S38223524",70
"S37027197",25
"S37361598",106
"S37784762",103
"S37295719",55
"S44471694",123
"S38223608",8
"S37748385",82
"S38016922",108
"S38016276",45
"G2509493",22
"G2520158",79
"S44471701",86
"S37346120",101
"S37341698",114
"S38223551",44
"S37628999",29
"S38223544",29
"S37301402",66
"S37082312",128
"S37130478",128
"S36965328",100
"S37438943",30
"S38223514",27
"G2536278",38
"S37214834",11
"G2520126",34
"S37874088",48
"S38104673",64
"S37186761",14
"S37186827",126
"S38015186",76
"S37130183",56
"S37341575",31
"S37702120",111
"S38053660",13
"S37781267",94
"S38019554",51
"G2520096",4
"S37741298",93
"S38223517",116
"S37958723",98
"S38045614",46
"S37296890",77
"S37323869",118
"G2537419",116
"S38104678",21
"S36951537",108
"S38223537",16
"S37191945",102
"S38090395",119
"G3293357",54
"S37138222",88
"G2439050",95
"S37651488",86
"S37185700",58
"S38223459",52
"S36925239",63
"S37292574",85
"S37790851",2
"S38223495",116
"S37855427",24
"S37855448",109
"S37205058",127
"G2520142",23
"S38223472",80
"S37256426",74
"S37341647",40
"S37341705",125
"G2537680",68
"S37256410",71
"S37889120",93
"S38223540",47
"S37915546",67
"S38046972",33
"S37794227",8
"S37204935",41
"G2520099",32
"S37361121",1
"S37666668",73
"S37027176",84
"S37695562",89
"S37341554",60
"S38020844",15
