"id","cluster"
"S38189655",4
"S36925097",22
"S37855352",33
"G2509499",5
"S37205325",86
"S37651445",16
"S37062372",105
"S37481244",126
"S37219656",94
"S37921164",88
"S37130449",17
"S37764409",50
"S37341585",71
"S38223616",107
"S37915601",116
"S38223505",77
"S37393596",110
"S38138604",35
"S38223509",69
"S37701184",43
"S38152163",121
"S44471693",60
"S37377562",64
"G2520170",19
"S44471692",87
"S37335756",11
"S44471709",25
"G2520118",42
"S37457609",111
"S37799913",81
"S37433010",98
"G2520148",28
"G2509509",72
"G2520117",80
"S37341678",53
"S37891588",120
"S37057117",71
"S37219766",58
"S38223463",76
"G2520108",56
"S37362081",30
"S36965006",20
"S36965076",93
"S37745681",75
"S37362820",109
"S37219748",99
"G2489606",83
"S37394083",49
"S37130473",102
"S38131880",40
"G2520156",74
"S38090238",15
"S36890278",55
"S37426873",18
"S37614749",113
"S38223498",48
"S38223523",52
"S38223524",31
"S37027197",128
"S37361598",1
"S37784762",23
"S37295719",12
"S44471694",123
"S38223608",3
"S37748385",32
"S38016922",46
"S38016276",66
"G2509493",27
"G2520158",1
"S44471701",29
"S37346120",91
"S37341698",44
"S38223551",89
"S37628999",60
"S38223544",2
"S37301402",125
"S37082312",118
"S37130478",65
"S36965328",70
"S37438943",79
"S38223514",84
"G2536278",55
"S37214834",39
"G2520126",127
"S37874088",14
"S38104673",34
"S37186761",6
"S37186827",92
"S38015186",95
"S37130183",97
"S37341575",13
"S37702120",20
"S38053660",59
"S37781267",47
"S38019554",73
"G2520096",114
"S37741298",9
"S38223517",85
"S37958723",44
"S38045614",38
"S37296890",45
"S37323869",24
"G2537419",57
"S38104678",106
"S36951537",104
"S38223537",63
"S37191945",78
"S38090395",62
"G3293357",54
"S37138222",82
"G2439050",83
"S37651488",119
"S37185700",26
"S38223459",8
"S36925239",100
"S37292574",7
"S37790851",68
"S38223495",21
"S37855427",36
"S37855448",117
"S37205058",55
"G2520142",90
"S38223472",66
"S37256426",10
"S37341647",127
"S37341705",61
"G2537680",11
"S37256410",37
"S37889120",112
"S38223540",124
"S37915546",101
"S38046972",67
"S37794227",115
"S37204935",51
"G2520099",88
"S37361121",122
"S37666668",108
"S37027176",103
"S37695562",96
"S37341554",109
"S38020844",41
