"id_col_1","id_col_2","constraint"
"S37764409","S38020844","cannot-link"
"S38090238","S44471693","cannot-link"
"S37915546","S38223498","cannot-link"
"G2509499","S38223495","cannot-link"
"S37186827","S37614749","cannot-link"
